RISK_REWARD_RATIO,TIME_STOP_BARS,VOLUME_MULTIPLIER,ATR_MULTIPLIER,total_trades,win_rate,roi,max_drawdown,profit_factor,sharpe_ratio,calmar_ratio,final_capital
1.5,12,2.5,1.5,2547,43.69846878680801,-67.41001496021251,68.02736788831226,1.0681656742117294,-1.0928991703251318,-0.9909249329018092,32589.985039787403
2.0,12,2.0,2.0,1346,42.570579494799404,-49.076689693431454,50.750529610695274,1.1141768655850561,-1.1069026761082463,-0.9670182768514188,50923.31030656846
2.0,12,1.5,2.0,1385,42.238267148014444,-50.805692350605995,52.42270026603777,1.124446347503265,-1.1323340942581457,-0.9691544329608034,49194.30764939398
1.5,12,2.5,2.0,1235,44.61538461538462,-45.83030295106824,47.660156467079986,1.0183902496509638,-1.1675360057981492,-0.9616062209683329,54169.69704893179
2.0,12,2.5,2.0,1231,42.81072298943948,-49.3379721230449,51.06686085514518,1.08560964250745,-1.1962798221681414,-0.9661446052655479,50662.02787695506
3.0,12,1.5,2.5,643,42.30171073094868,-36.48228700858615,38.21726823715847,1.0714483978365898,-1.3813214311313964,-0.9546021652357295,63517.71299141382
2.5,12,1.5,2.5,643,42.45723172628305,-37.472786240472395,39.02145507050946,1.053055716290222,-1.4559991266773382,-0.960312376172577,62527.21375952772
2.0,12,1.5,2.5,643,42.61275272161742,-37.90923907681059,38.7785142239312,1.0390172816435927,-1.5038227670277011,-0.9775835881152932,62090.760923189344
1.5,12,1.5,2.5,644,43.7888198757764,-35.91021781926481,40.56368633537743,0.9947123438314446,-1.506245306468302,-0.8852799403476769,64089.78218073518
3.0,12,2.5,2.5,608,42.76315789473684,-37.9531261896349,40.462096967333856,1.0204505864218703,-1.5665837856432907,-0.9379920724394359,62046.873810365156
3.0,12,2.0,2.5,637,42.22919937205651,-39.92074295849632,41.56180303897606,1.0363433468675733,-1.603018916273794,-0.9605151855673639,60079.25704150367
2.5,12,2.5,2.5,608,42.92763157894737,-38.575278639821136,40.904753223373056,1.0057714903043178,-1.6172827352343675,-0.943051249549628,61424.72136017894
2.0,12,2.5,2.5,608,43.09210526315789,-38.64420091144113,40.31930459165099,0.9958563791787891,-1.6382291264772841,-0.95845405328353,61355.79908855881
2.5,12,2.0,2.5,637,42.3861852433281,-40.4780528019018,41.9522874396923,1.0221883873561124,-1.6517256906646782,-0.9648592549355085,59521.94719809798
1.5,12,2.5,2.5,608,44.243421052631575,-36.79297145951517,42.1731121944197,0.9523898126771854,-1.6529800547346838,-0.872427230172109,63207.02854048484
1.5,12,2.0,2.5,638,43.73040752351097,-38.20701982142439,42.69372078986989,0.9718742607689302,-1.6566712399697705,-0.8949095818907852,61792.98017857573
2.0,12,2.0,2.5,637,42.54317111459969,-40.55837143294626,41.39055853533391,1.0118496674495367,-1.6761533346459836,-0.9798942770565119,59441.62856705368
